bin_detailed mean_r2 identifier
5e-04 0.454562495149641 HC_1kg
0.001 0.488883189522817 HC_1kg
0.002 0.488304655566644 HC_1kg
0.005 0.482196386678792 HC_1kg
0.01 0.550299310864603 HC_1kg
0.015 0.627026119433872 HC_1kg
0.02 0.68092811127758 HC_1kg
0.035 0.743676896881738 HC_1kg
0.05 0.810229933547524 HC_1kg
0.1 0.867786129183314 HC_1kg
0.2 0.920780105179327 HC_1kg
0.3 0.945765287185966 HC_1kg
0.4 0.951657918135858 HC_1kg
0.5 0.953645882927957 HC_1kg
5e-04 0.509494323659455 HC_hrc
0.001 0.529966947493881 HC_hrc
0.002 0.581633078612835 HC_hrc
0.005 0.651005323095567 HC_hrc
0.01 0.72090220563224 HC_hrc
0.015 0.769773589412502 HC_hrc
0.02 0.80306025143003 HC_hrc
0.035 0.841458987013887 HC_hrc
0.05 0.881895778719804 HC_hrc
0.1 0.917103979140045 HC_hrc
0.2 0.949203545028698 HC_hrc
0.3 0.96454442318768 HC_hrc
0.4 0.968213143021883 HC_hrc
0.5 0.969448466372991 HC_hrc
5e-04 0.727762931870939 HC_top
0.001 0.775179856784533 HC_top
0.002 0.804551353795915 HC_top
0.005 0.825451345107217 HC_top
0.01 0.851656684342375 HC_top
0.015 0.873986702489513 HC_top
0.02 0.890681251120732 HC_top
0.035 0.910756126229847 HC_top
0.05 0.932659660460888 HC_top
0.1 0.951576980659135 HC_top
0.2 0.969474986739688 HC_top
0.3 0.97807586757627 HC_top
0.4 0.980106407728627 HC_top
0.5 0.980687814938769 HC_top
5e-04 0.579195916072703 OE_1kg
0.001 0.618633778550913 OE_1kg
0.002 0.613391515889357 OE_1kg
0.005 0.595951439991596 OE_1kg
0.01 0.663738583057784 OE_1kg
0.015 0.739867467825085 OE_1kg
0.02 0.790072348522266 OE_1kg
0.035 0.844985756288795 OE_1kg
0.05 0.897394828102241 OE_1kg
0.1 0.940657172045221 OE_1kg
0.2 0.96699238116812 OE_1kg
0.3 0.974635211598556 OE_1kg
0.4 0.976985041713352 OE_1kg
0.5 0.977777737902658 OE_1kg
5e-04 0.600296809187542 OE_hrc
0.001 0.625265272533902 OE_hrc
0.002 0.683270332187095 OE_hrc
0.005 0.74834886093759 OE_hrc
0.01 0.809694204644734 OE_hrc
0.015 0.852108767295902 OE_hrc
0.02 0.879959608353169 OE_hrc
0.035 0.910668963826397 OE_hrc
0.05 0.94008283265274 OE_hrc
0.1 0.964699253019842 OE_hrc
0.2 0.979986677316547 OE_hrc
0.3 0.98466839544024 OE_hrc
0.4 0.986061495112571 OE_hrc
0.5 0.986524071831958 OE_hrc
5e-04 0.778404362517008 OE_top
0.001 0.838196971133892 OE_top
0.002 0.870508741741878 OE_top
0.005 0.889429040056284 OE_top
0.01 0.910264055578869 OE_top
0.015 0.927723207860481 OE_top
0.02 0.940389329936401 OE_top
0.035 0.954917288756932 OE_top
0.05 0.969387337444168 OE_top
0.1 0.981437622258759 OE_top
0.2 0.989002027927812 OE_top
0.3 0.991211190868115 OE_top
0.4 0.991864099865733 OE_top
0.5 0.99203250054772 OE_top
5e-04 0.664594764411795 IO_1kg
0.001 0.703650925908653 IO_1kg
0.002 0.692581875202706 IO_1kg
0.005 0.672837538052084 IO_1kg
0.01 0.746091020206981 IO_1kg
0.015 0.823235558674892 IO_1kg
0.02 0.869145505724989 IO_1kg
0.035 0.914520713113673 IO_1kg
0.05 0.950010040236753 IO_1kg
0.1 0.974060695449833 IO_1kg
0.2 0.985689004950339 IO_1kg
0.3 0.988520152711328 IO_1kg
0.4 0.989292717901888 IO_1kg
0.5 0.989228178244489 IO_1kg
5e-04 0.65878358982443 IO_hrc
0.001 0.687326288421388 IO_hrc
0.002 0.746429026379293 IO_hrc
0.005 0.808305809130302 IO_hrc
0.01 0.865821562043756 IO_hrc
0.015 0.904889475469765 IO_hrc
0.02 0.928418575432018 IO_hrc
0.035 0.952313587619855 IO_hrc
0.05 0.971436400816299 IO_hrc
0.1 0.984493453916192 IO_hrc
0.2 0.991273986536657 IO_hrc
0.3 0.993255459958395 IO_hrc
0.4 0.993749035841144 IO_hrc
0.5 0.993702994052525 IO_hrc
5e-04 0.809153383980318 IO_top
0.001 0.874874875738052 IO_top
0.002 0.907550946166939 IO_top
0.005 0.925802913310131 IO_top
0.01 0.944439162397726 IO_top
0.015 0.958984246186928 IO_top
0.02 0.968658735702843 IO_top
0.035 0.978694260789657 IO_top
0.05 0.987008513379721 IO_top
0.1 0.992744667597042 IO_top
0.2 0.995726683478707 IO_top
0.3 0.996406731378679 IO_top
0.4 0.996549513752812 IO_top
0.5 0.996569433816871 IO_top
5e-04 0.623737270924401 MG_1kg
0.001 0.662260542830348 MG_1kg
0.002 0.657318245129668 MG_1kg
0.005 0.645060957933961 MG_1kg
0.01 0.720682469118692 MG_1kg
0.015 0.803526067645262 MG_1kg
0.02 0.850259124765692 MG_1kg
0.035 0.894597609265729 MG_1kg
0.05 0.933534150039904 MG_1kg
0.1 0.961818694633966 MG_1kg
0.2 0.974010574078269 MG_1kg
0.3 0.977642367947911 MG_1kg
0.4 0.978878415619504 MG_1kg
0.5 0.979083808950326 MG_1kg
5e-04 0.632680183658322 MG_hrc
0.001 0.658416275949477 MG_hrc
0.002 0.718848374500403 MG_hrc
0.005 0.786717442738305 MG_hrc
0.01 0.848365440079919 MG_hrc
0.015 0.89154175688938 MG_hrc
0.02 0.915939728938502 MG_hrc
0.035 0.940172750215192 MG_hrc
0.05 0.961560743380011 MG_hrc
0.1 0.977582752660064 MG_hrc
0.2 0.984614998053605 MG_hrc
0.3 0.986943610570141 MG_hrc
0.4 0.98762323990013 MG_hrc
0.5 0.987790107168835 MG_hrc
5e-04 0.801383203550632 MG_top
0.001 0.864689951666982 MG_top
0.002 0.897138799782808 MG_top
0.005 0.916547316656471 MG_top
0.01 0.93603401763507 MG_top
0.015 0.952678313758527 MG_top
0.02 0.96283463459501 MG_top
0.035 0.973068399121165 MG_top
0.05 0.982323731737635 MG_top
0.1 0.989357952421799 MG_top
0.2 0.992469930483978 MG_top
0.3 0.993387219852297 MG_top
0.4 0.993724858807746 MG_top
0.5 0.993749716428171 MG_top
